,category,model,model_year,manufacturer,fuel,all_electric_range,PHEV_total_range,alternative_fuel_economy_city,alternative_fuel_economy_highway,alternative_fuel_economy_combined,conventional_fuel_economy_city,conventional_fuel_economy_highway,conventional_fuel_economy_combined
813,Vocational/Cab Chassis,"Standard, Bridgemaster, Oshkosh S-Series - Class 8",,McNeilus,CNG - Compressed Natural Gas,,,,,,,,
814,Step Van,(various models),,Morgan-Olson,Electric,,,,,,,,
815,Transit Bus,Xcelsior 35',,New Flyer,CNG - Compressed Natural Gas,,,,,,,,
817,Transit Bus,Xcelsior 40',,New Flyer,Diesel/Hybrid Electric,,,,,,,,
818,Transit Bus,Xcelsior 40',,New Flyer,CNG - Compressed Natural Gas,,,,,,,,
819,Transit Bus,Xcelsior 60',,New Flyer,Diesel/Hybrid Electric,,,,,,,,
820,Transit Bus,Xcelsior 60',,New Flyer,CNG - Compressed Natural Gas,,,,,,,,
821,Transit Bus,Xcelsior CHARGE 35',,New Flyer,Electric,,,,,,,,
822,Transit Bus,Xcelsior CHARGE 40',,New Flyer,Electric,,,,,,,,
823,Transit Bus,Xcelsior CHARGE 60',,New Flyer,Electric,,,,,,,,
824,Transit Bus,Xcelsior CHARGE H2 40',,New Flyer,Hydrogen Fuel Cell,,,,,,,,
825,Transit Bus,Xcelsior CHARGE H2 60',,New Flyer,Hydrogen Fuel Cell,,,,,,,,
826,Street Sweeper,Osprey II sweeper,,Nitehawk,Propane - Bi-fuel,,,,,,,,
827,Street Sweeper,Osprey II sweeper,,Nitehawk,Ethanol (E85),,,,,,,,
828,Street Sweeper,Raptor II sweeper,,Nitehawk,CNG - Compressed Natural Gas|Propane - Bi-fuel,,,,,,,,
829,Transit Bus,LFS Artic HEV - Class 8,,Nova Bus,Diesel/Hybrid Electric,,,,,,,,
830,Transit Bus,LFS CNG - Class 8,,Nova Bus,CNG - Compressed Natural Gas,,,,,,,,
831,Transit Bus,LFSe,,Nova Bus,Electric,,,,,,,,
832,Transit Bus,LFSe+,,Nova Bus,Electric,,,,,,,,
833,Transit Bus,LFS HEV - Class 8,,Nova Bus,Diesel/Hybrid Electric,,,,,,,,
834,Vocational/Cab Chassis,E1 Cutaway Chassis,,Optimal-EV,Electric,,,,,,,,
835,Passenger Van/Shuttle Bus,S1 LF Low Floor,,Optimal-EV,Electric,,,,,,,,
836,Tractor,T Series terminal,,Orange EV,Electric,,,,,,,,
837,Vocational/Cab Chassis,220EV - Class 6,,Peterbilt,Electric,,,,,,,,
838,Vocational/Cab Chassis,220EV - Class 7,,Peterbilt,Electric,,,,,,,,
839,Vocational/Cab Chassis,520,,Peterbilt,CNG - Compressed Natural Gas,,,,,,,,
840,Refuse,520EV - Class 8,,Peterbilt,Electric,,,,,,,,
841,Vocational/Cab Chassis,535 - Class 5,,Peterbilt,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
842,Vocational/Cab Chassis,536 - Class 6,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
843,Vocational/Cab Chassis,537 - Class 7,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
844,Vocational/Cab Chassis,548 - Class 8,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
845,TractorVocational/Cab Chassis,567 - Class 8,,Peterbilt,LNG - Liquified Natural Gas|CNG - Compressed Natural Gas,,,,,,,,
846,Vocational/Cab ChassisTractor,579,,Peterbilt,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
847,Tractor,579EV - Class 8,,Peterbilt,Electric,,,,,,,,
848,Transit Bus,ZX5 35-Foot Bus - Class 8,,Proterra,Electric,,,,,,,,
849,Transit Bus,ZX5+ 35-Foot Bus - Class 8,,Proterra,Electric,,,,,,,,
850,Transit Bus,ZX5 40-Foot Bus - Class 8,,Proterra,Electric,,,,,,,,
851,Transit Bus,ZX5+ 40-Foot Bus - Class 8,,Proterra,Electric,,,,,,,,
852,Transit Bus,ZX5MAX 40-Foot Bus - Class 8,,Proterra,Electric,,,,,,,,
853,Pickup,2500/3500 HD,,RAM,Biodiesel (B20),,,,,,,,
854,Vocational/Cab Chassis,3500/4500/5500,,RAM,Biodiesel (B20),,,,,,,,
855,Street Sweeper,A7 Tornado sweeper - Class 6,,Schwarze Industries,CNG - Compressed Natural Gas,,,,,,,,
856,Street Sweeper,A7 Zephyr sweeper - Class 6,,Schwarze Industries,CNG - Compressed Natural Gas,,,,,,,,
857,Street Sweeper,M6 Avalanche,,Schwarze Industries,CNG - Compressed Natural Gas,,,,,,,,
858,Passenger Van/Shuttle Bus,Allstar 22,,Starcraft,Electric,,,,,,,,
859,School Bus,E-Quest,,Starcraft,Electric,,,,,,,,
860,School Bus,E-Quest XL,,Starcraft,Electric,,,,,,,,
861,School Bus,Minotour - Class 4,,Thomas Built,CNG - Compressed Natural Gas|Propane,,,,,,,,
862,Passenger Van/Shuttle Bus,Minotour Activity - Class 4,,Thomas Built,CNG - Compressed Natural Gas|Propane,,,,,,,,
863,Passenger Van/Shuttle Bus,Saf-T-Liner C2 Activity,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,
864,School Bus,Saf-T-Liner C2 Jouley,,Thomas Built,Electric,,,,,,,,
865,School Bus,Saf-T-Liner HDX - Class 8,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,
866,Passenger Van/Shuttle Bus,Saf-T-Liner HDX Activity - Class 8,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,
867,Passenger Van/Shuttle Bus,Transit-Liner C2,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,
868,Passenger Van/Shuttle Bus,Transit-Liner HDX,,Thomas Built,CNG - Compressed Natural Gas,,,,,,,,
869,Tractor,Pro Spotter,,TICO,CNG - Compressed Natural Gas|LNG - Liquified Natural Gas,,,,,,,,
870,Passenger Van/Shuttle Bus,Ford - Odyssey,,Turtle Top,Propane|CNG - Compressed Natural Gas,,,,,,,,
871,Passenger Van/Shuttle Bus,Ford - Odyssey XL,,Turtle Top,CNG - Compressed Natural Gas|Propane,,,,,,,,
872,Passenger Van/Shuttle Bus,Ford - Terra Transit,,Turtle Top,Electric,,,,,,,,
873,Passenger Van/Shuttle Bus,Ford - Van Terra,,Turtle Top,CNG - Compressed Natural Gas|Propane,,,,,,,,
874,Passenger Van/Shuttle Bus,Ford - VT3,,Turtle Top,Propane|CNG - Compressed Natural Gas,,,,,,,,
875,Street Sweeper,500x,,TYMCO,CNG - Compressed Natural Gas,,,,,,,,
876,Street Sweeper,600,,TYMCO,CNG - Compressed Natural Gas,,,,,,,,
877,Street Sweeper,HSP,,TYMCO,CNG - Compressed Natural Gas,,,,,,,,
878,Step Van,(various models),,Utilimaster,Electric,,,,,,,,
879,Transit Bus,CX45E,,Van Hool,Electric,,,,,,,,
880,Tractor,VNR Electric - Class 8,,Volvo,Electric,,,,,,,,
881,Step Van,C-Series,,Workhorse,Electric,,,,,,,,
