,model_year,make,model,vehicle_class,range_1_(miles),recharge_time_(h),city_(l/100_miles),highway_(l/100_miles),combined_(l/100_miles),range_2_(miles),co2(g/miles),em_le/100_miles,em_kwh/100_miles,em_aditional_fuel_l/100_miles,total_range_(miles),miles_per_charging hour
237,2023,Lincoln,Aviator Grand Touring,Sport utility vehicle: Standard,21.13,3.5,17.54,15.45,16.57,443.13,209.17,6.76,60.02,0.0,460.03,6.04
238,2023,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,26.72,3.2,11.1,11.91,11.42,397.14,122.28,4.99,44.25,0.0,418.52,8.35
239,2023,Mercedes-Benz,S 580e 4MATIC Sedan,Full-size,55.94,2.25,18.5,13.19,16.09,417.03,107.8,7.4,48.91,1.93,461.78,24.86
240,2023,MINI,Cooper SE Countryman ALL4,Mid-size,18.02,3.0,13.03,12.71,12.87,280.3,175.38,5.15,45.7,0.0,294.72,6.01
241,2023,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Standard,37.91,6.5,14.8,14.0,14.48,389.06,112.63,5.79,51.65,0.0,419.39,5.83
242,2023,Subaru,Crosstrek Hybrid AWD,Sport utility vehicle: Small,16.78,2.0,10.62,10.94,10.78,464.26,151.25,4.18,37.81,0.0,477.68,8.39
243,2023,Toyota,Prius Prime SE,Mid-size,44.75,4.0,7.08,7.4,7.24,553.14,49.88,2.9,26.39,0.0,588.94,11.19
244,2023,Toyota,Prius Prime XSE,Mid-size,39.78,4.0,7.56,8.04,7.88,513.36,59.53,3.38,29.44,0.0,545.18,9.94
245,2023,Toyota,RAV4 Prime,Sport utility vehicle: Small,42.26,4.5,9.17,10.3,9.65,566.19,70.8,4.02,35.88,0.0,600.0,9.39
247,2023,Volvo,S90 T8 AWD Recharge,Mid-size,37.91,5.0,13.68,12.23,13.03,464.89,104.58,5.47,48.27,0.0,495.22,7.58
248,2023,Volvo,V60 T8 AWD Recharge,Station wagon: Small,39.78,5.0,12.87,11.58,12.23,492.23,93.32,4.83,43.76,0.0,524.05,7.96
249,2023,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,36.05,5.0,13.68,13.68,13.68,520.82,115.85,5.63,50.2,0.0,549.66,7.21
250,2023,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,32.94,5.0,14.64,13.84,14.32,499.07,131.94,6.11,55.35,0.0,525.42,6.59
251,2024,Alfa Romeo,Tonale PHEV,Sport utility vehicle: Small,32.94,4.0,13.03,13.03,13.03,323.18,120.68,4.99,43.76,0.0,349.53,8.24
252,2024,Audi,Q5 55 TFSI e quattro,Sport utility vehicle: Small,24.24,3.0,15.12,14.0,14.64,369.79,149.64,6.6,58.25,0.0,389.18,8.08
253,2024,Bentley,Bentayga Hybrid,Sport utility vehicle: Standard,21.13,3.0,19.79,16.25,18.18,415.16,205.95,9.01,79.48,0.0,432.06,7.04
254,2024,Bentley,Flying Spur Hybrid,Mid-size,21.13,3.0,22.04,17.22,19.79,405.84,251.0,8.21,73.85,0.0,422.74,7.04
257,2024,BMW,750e xDrive Sedan,Full-size,34.18,5.0,15.93,14.16,15.12,431.95,131.94,5.79,50.04,0.16,459.29,6.84
258,2024,BMW,X3 xDrive30e,Sport utility vehicle: Small,18.02,3.0,18.34,13.84,16.25,312.0,207.56,6.28,55.83,0.0,326.42,6.01
259,2024,BMW,X5 xDrive50e,Sport utility vehicle: Standard,39.15,3.0,17.54,16.41,17.06,403.98,130.33,6.44,57.76,0.0,435.3,13.05
260,2024,BMW,XM,Sport utility vehicle: Standard,31.08,7.0,32.02,22.37,27.67,267.87,244.57,8.21,73.21,0.0,292.73,4.44
261,2024,BMW,XM Label Red,Sport utility vehicle: Standard,31.08,7.0,32.18,21.72,27.51,270.98,255.83,8.21,73.21,0.0,295.84,4.44
262,2024,Chrysler,Pacifica Hybrid,Minivan,31.7,2.0,12.87,12.71,12.87,487.26,119.07,4.67,41.51,0.0,512.62,15.85
263,2024,Dodge,Hornet R/T PHEV,Sport utility vehicle: Small,32.94,4.0,13.03,13.03,13.03,323.18,120.68,4.99,43.76,0.0,349.53,8.24
270,2024,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,37.29,3.4,9.01,10.14,9.49,479.18,78.84,3.7,33.15,0.0,509.01,10.97
271,2024,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,32.94,1.7,10.94,10.62,10.78,389.06,99.76,4.67,41.67,0.0,415.41,19.38
272,2024,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,26.1,3.4,16.57,15.61,16.09,446.86,176.99,6.76,57.92,0.0,467.74,7.68
273,2024,Jeep,Wrangler 4xe,Sport utility vehicle: Small,21.75,2.4,18.66,19.15,18.83,346.18,230.09,7.72,67.9,0.0,363.58,9.06
274,2024,Kia,Niro Plug-in Hybrid,Sport utility vehicle: Small,34.18,2.8,7.4,7.88,7.72,485.39,67.58,3.38,30.73,0.0,512.73,12.21
275,2024,Kia,Sorento Plug-in Hybrid,Sport utility vehicle: Small,31.7,3.4,10.78,11.42,11.1,423.24,104.58,4.83,42.48,0.0,448.6,9.32
276,2024,Kia,Sportage Plug-in Hybrid,Sport utility vehicle: Small,34.18,2.0,10.62,10.78,10.78,392.79,96.54,4.51,40.06,0.0,420.13,17.09
278,2024,Lexus,NX 450h+ AWD,Sport utility vehicle: Small,37.91,4.5,9.98,11.26,10.62,518.96,86.89,4.51,39.74,0.0,549.29,8.42
279,2024,Lexus,RX 450h+ AWD,Sport utility vehicle: Standard,37.29,2.5,10.3,11.42,10.78,508.39,88.5,4.51,40.23,0.0,538.22,14.92
280,2024,Lincoln,Corsair Grand Touring,Sport utility vehicle: Small,27.97,3.4,11.1,11.75,11.42,399.01,119.07,4.83,42.48,0.0,421.39,8.23
281,2024,Mazda,CX-90 PHEV 4WD,Sport utility vehicle: Standard,26.1,2.1,15.93,14.0,15.12,464.26,168.94,6.76,57.92,0.32,485.14,12.43
282,2024,Mercedes-Benz,GLE 450e 4MATIC SUV ,Sport utility vehicle: Standard,47.86,2.75,16.89,14.64,15.93,412.06,101.37,6.6,58.57,0.0,450.35,17.4
283,2024,Mercedes-Benz,S 580e 4MATIC Sedan,Full-size,45.99,2.25,18.5,13.19,16.09,426.97,111.02,6.28,56.31,0.0,463.76,20.44
284,2024,Mitsubishi,Outlander PHEV AWD,Sport utility vehicle: Standard,37.91,6.5,14.8,14.0,14.48,389.06,112.63,5.79,51.65,0.0,419.39,5.83
285,2024,Toyota,Prius Prime SE,Mid-size,44.75,4.0,7.08,7.4,7.24,553.14,49.88,2.9,26.39,0.0,588.94,11.19
286,2024,Toyota,Prius Prime XSE,Mid-size,39.78,4.0,7.56,8.04,7.88,513.36,59.53,3.38,29.44,0.0,545.18,9.94
287,2024,Toyota,RAV4 Prime,Sport utility vehicle: Small,42.26,4.5,9.17,10.3,9.65,566.19,70.8,4.02,35.88,0.0,600.0,9.39
289,2024,Volvo,S90 T8 AWD Recharge,Mid-size,37.91,5.0,13.68,12.23,13.03,464.89,104.58,5.47,48.27,0.0,495.22,7.58
290,2024,Volvo,V60 T8 AWD Recharge,Station wagon: Small,39.78,5.0,12.87,11.58,12.23,492.23,93.32,4.83,43.76,0.0,524.05,7.96
291,2024,Volvo,XC60 T8 AWD Recharge,Sport utility vehicle: Small,36.05,5.0,13.68,13.68,13.68,520.82,115.85,5.63,50.2,0.0,549.66,7.21
292,2024,Volvo,XC90 T8 AWD Recharge,Sport utility vehicle: Standard,32.94,5.0,14.64,13.84,14.32,499.07,131.94,6.11,55.35,0.0,525.42,6.59
